DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,
7/25/2008,WEST,99,124,145,150,119,107,132,101,29,8,1,1,5,4,7,12,22,16,2,-2,-3,-1,9,32,
7/26/2008,WEST,61,100,151,164,163,155,153,152,105,79,93,78,97,105,128,139,139,139,142,105,101,144,120,91,
7/27/2008,WEST,111,113,99,78,55,59,75,98,57,48,27,41,86,124,157,173,159,106,65,29,58,129,178,235,
7/28/2008,WEST,118,44,32,27,48,51,62,43,35,17,6,6,12,13,9,10,11,5,2,14,5,5,11,42,
7/29/2008,WEST,54,46,49,51,48,47,24,11,6,5,13,32,59,73,85,112,91,82,99,158,281,312,88,26,
7/30/2008,WEST,125,168,159,151,206,218,240,248,240,176,120,50,52,120,146,238,207,184,216,213,176,177,197,278,
7/31/2008,WEST,275,244,232,174,193,168,173,108,53,32,30,31,34,50,122,78,81,163,175,100,184,209,165,154,
8/1/2008,WEST,126,156,275,293,260,206,135,121,78,58,60,61,62,65,68,67,42,36,46,60,89,90,150,168,
8/2/2008,WEST,213,250,274,278,170,183,184,160,94,63,59,63,84,79,93,80,60,55,85,61,56,104,126,134,
8/3/2008,WEST,139,101,91,96,89,85,105,137,123,81,140,170,191,45,85,105,145,157,185,181,187,265,283,251,
8/4/2008,WEST,248,298,367,320,315,343,339,301,263,145,91,79,119,124,199,216,214,239,322,329,299,220,278,229,
8/5/2008,WEST,144,175,217,209,167,237,316,401,267,246,158,142,208,143,145,199,186,163,140,110,107,142,147,152,
8/6/2008,WEST,159,174,185,202,213,198,158,200,185,86,60,74,72,83,91,113,133,133,118,148,157,181,258,241,
8/7/2008,WEST,307,398,430,427,370,361,362,301,213,121,123,122,161,163,218,281,282,265,248,170,144,179,207,228,
